,RT_SubSet,Concert,Last_RT_created_at,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Lost,Unrelated,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial
40,Top200RTd,PTD_ON1,2021-10-24 12:51:50+00:00,1635079910000000000,https://twitter.com/anyuser/status/1452256520788398082,1452224874332688384,en,1184,963,15760,70318,913,58523,138425,11014,21609,51,False,110,True,,,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False
41,Top200RTd,PTD_ON1,2021-10-24 12:54:23+00:00,1635080063000000000,https://twitter.com/anyuser/status/1452257162600886282,1452219820397715456,und,114,664,53278,46134,40,3114,377891,10982,24221,38,False,42,True,,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
42,Top200RTd,PTD_ON1,2021-10-24 12:52:08+00:00,1635079928000000000,https://twitter.com/anyuser/status/1452256594406871046,1452216146980130816,en,695,2213,73848,102747,39,4544,288725,10616,29574,37,False,53,True,,,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
43,Top200RTd,PTD_ON1,2021-10-24 12:53:01+00:00,1635079981000000000,https://twitter.com/anyuser/status/1452256816923086849,1452222102489141248,en,146,582,28065,59542,49,1293,18163,10526,30465,123,False,47,True,,,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
44,Top200RTd,PTD_ON1,2021-10-24 12:57:37+00:00,1635080257000000000,https://twitter.com/anyuser/status/1452257974827814926,1452231245434347520,en,323,3604,33361,180956,14480,86591,125435,10508,25921,59,False,138,True,,,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
45,Top200RTd,PTD_ON1,2021-10-24 12:50:49+00:00,1635079849000000000,https://twitter.com/anyuser/status/1452256263421759489,1452248083794997248,ko,145,538,5162,17516,3,9557,2865241,10477,29728,3969,False,77,False,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,Top200RTd,PTD_ON1,2021-10-24 12:58:12+00:00,1635080292000000000,https://twitter.com/anyuser/status/1452258120126898179,1452213297978253312,in,174,957,6919,15803,65,38745,356682,10471,30363,39,False,56,True,,,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
47,Top200RTd,PTD_ON1,2021-10-24 12:46:04+00:00,1635079564000000000,https://twitter.com/anyuser/status/1452255067738890247,1452218920673452032,en,414,1566,106125,28162,40,15143,144769,10284,32270,123,False,71,True,,,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False
48,Top200RTd,PTD_ON1,2021-10-24 12:28:32+00:00,1635078512000000000,https://twitter.com/anyuser/status/1452250653712162822,1452224749862408192,ko,261,686,29395,13750,171,15127,121988,10181,19542,0,False,69,True,,,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False
49,Top200RTd,PTD_ON1,2021-10-24 12:58:07+00:00,1635080287000000000,https://twitter.com/anyuser/status/1452258102246469636,1452221348797841408,en,2,22,46,83,296,35320,1617922,10127,37618,92,False,46,True,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,Top200RTd,PTD_ON1,2021-10-24 12:41:48+00:00,1635079308000000000,https://twitter.com/anyuser/status/1452253993103761418,1452239455855775744,th,96,790,175865,12243,96,2671,39,10034,2584,2,False,112,True,,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,Top200RTd,PTD_ON1,2021-10-24 12:54:54+00:00,1635080094000000000,https://twitter.com/anyuser/status/1452257291810508801,1452222495914926080,in,71,305,4327,24512,49,15614,566579,9979,20388,31,False,61,True,,,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
52,Top200RTd,PTD_ON1,2021-10-24 12:14:49+00:00,1635077689000000000,https://twitter.com/anyuser/status/1452247202496225282,1452222371729969152,und,2837,3075,236400,351227,1,389,41354,9892,18039,53,False,39,True,,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
53,Top200RTd,PTD_ON1,2021-10-24 12:58:09+00:00,1635080289000000000,https://twitter.com/anyuser/status/1452258108273745933,1452243715221647360,en,0,10,1570,12445,296,35320,1617890,9854,33604,351,False,110,True,,,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
54,Top200RTd,PTD_ON1,2021-10-24 12:43:51+00:00,1635079431000000000,https://twitter.com/anyuser/status/1452254510982762496,1452224316293136384,en,415,788,111852,175778,51,12003,1898419,9793,21721,89,False,59,True,,,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False
55,Top200RTd,PTD_ON1,2021-10-24 12:57:12+00:00,1635080232000000000,https://twitter.com/anyuser/status/1452257870280630278,1452209770539126784,en,7,20,775,738,107,993,18177,9762,21138,83,False,80,True,,,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
56,Top200RTd,PTD_ON1,2021-10-24 12:59:25+00:00,1635080365000000000,https://twitter.com/anyuser/status/1452258427179315209,1452217332303077376,en,63,1030,23344,67273,19066,60062,128124,9738,29222,46,False,87,True,,,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False
