,created_at,id,user_id,user_followers_count,retweeted_status_id,retweeted_status_user_id,retweeted_status_retweet_count,retweeted_status_favorite_count,retweeted_status_reply_count,quoted_status_id,quoted_status_user_id,in_reply_to_status_id,in_reply_to_user_id,Original,RT,QT,Reply,Media,Length
74,2021-10-17 09:00:45+00:00,13065,5419,1,0.0,1.0,3378.0,21998.0,66.0,,,,,0,1,0,0,1,245
75,2021-10-17 09:00:45+00:00,13066,2242,104,4.0,1.0,6293.0,41382.0,114.0,,,,,0,1,0,0,1,211
76,2021-10-17 09:00:46+00:00,13067,5916,1492,134.0,25.0,5.0,26.0,1.0,,,,,0,1,0,0,1,178
77,2021-10-17 09:00:47+00:00,13068,8799,159,13250.0,15.0,10.0,8.0,0.0,,,,,0,1,0,0,1,209
78,2021-10-17 09:00:48+00:00,13070,2131,856,86.0,47.0,881.0,4605.0,9.0,,,,,0,1,0,0,1,209
79,2021-10-17 09:00:48+00:00,13071,8023,332,0.0,1.0,3379.0,22006.0,66.0,,,,,0,1,0,0,1,245
80,2021-10-17 09:00:48+00:00,13069,159,144,64.0,42.0,399.0,1083.0,13.0,,,,,0,1,0,0,1,156
81,2021-10-17 09:00:50+00:00,13061,13,2173,,,,,,,,13171.0,516.0,0,0,0,1,0,52
82,2021-10-17 09:00:50+00:00,13073,5844,478,14.0,10.0,3235.0,12538.0,491.0,,,,,0,1,0,0,1,237
83,2021-10-17 09:00:50+00:00,13072,65,676,12987.0,110.0,8971.0,2004.0,1942.0,,,,,0,1,0,0,0,93
84,2021-10-17 09:00:51+00:00,13045,5090,0,7.0,3.0,4261.0,7734.0,145.0,,,,,0,1,0,0,1,313
85,2021-10-17 09:00:52+00:00,13044,739,187,6.0,0.0,930.0,2607.0,19.0,,,,,0,1,0,0,1,102
86,2021-10-17 09:00:54+00:00,13014,107,1242,323.0,0.0,9325.0,17984.0,70.0,,,,,0,1,0,0,1,112
87,2021-10-17 09:00:54+00:00,13015,7023,7,0.0,1.0,3380.0,22015.0,66.0,,,,,0,1,0,0,1,245
88,2021-10-17 09:00:54+00:00,13043,5569,324,49.0,4.0,107.0,80.0,0.0,,,,,0,1,0,0,1,178
89,2021-10-17 09:00:55+00:00,13016,2553,114,14.0,10.0,3237.0,12542.0,491.0,,,,,0,1,0,0,1,237
90,2021-10-17 09:00:55+00:00,13018,120,674,64.0,42.0,804.0,1936.0,31.0,,,,,0,1,0,0,1,156
91,2021-10-17 09:00:55+00:00,13017,172,5389,,,,,,,,53.0,42.0,0,0,0,1,0,24
92,2021-10-17 09:00:56+00:00,13019,246,5,875.0,1.0,5192.0,45270.0,43.0,,,,,0,1,0,0,1,106
93,2021-10-17 09:00:57+00:00,13020,107,1242,176.0,0.0,20894.0,35697.0,316.0,,,,,0,1,0,0,1,108
94,2021-10-17 09:01:00+00:00,13021,107,1242,250.0,928.0,11080.0,25568.0,0.0,,,,,0,1,0,0,1,46
95,2021-10-17 09:01:01+00:00,13022,374,1119,6.0,0.0,931.0,2610.0,19.0,,,,,0,1,0,0,1,102
96,2021-10-17 09:01:01+00:00,13023,3049,48,6.0,0.0,932.0,2610.0,19.0,,,,,0,1,0,0,1,102
97,2021-10-17 09:01:02+00:00,13024,2855,1,0.0,1.0,3380.0,22018.0,66.0,,,,,0,1,0,0,1,245
98,2021-10-17 09:01:03+00:00,508,54,181,,,,,,,,296.0,754.0,0,0,0,1,0,25
99,2021-10-17 09:01:03+00:00,13025,6922,224,18.0,5.0,283.0,976.0,5.0,,,,,0,1,0,0,1,197
100,2021-10-17 09:01:04+00:00,13027,65,676,11681.0,1024.0,2028.0,584.0,1878.0,,,,,0,1,0,0,0,94
101,2021-10-17 09:01:04+00:00,13028,4352,137,357.0,605.0,7992.0,33789.0,87.0,,,,,0,1,0,0,1,53
102,2021-10-17 09:01:05+00:00,13029,246,5,91.0,158.0,4492.0,33477.0,49.0,,,,,0,1,0,0,1,195
103,2021-10-17 09:01:05+00:00,13030,374,1119,8.0,0.0,725.0,2065.0,12.0,,,,,0,1,0,0,1,162
104,2021-10-17 09:01:06+00:00,13032,401,11142,,,,,,,,13208.0,242.0,0,0,0,1,0,195
105,2021-10-17 09:01:08+00:00,13035,13,2173,,,,,,,,13165.0,18.0,0,0,0,1,0,15
106,2021-10-17 09:01:08+00:00,13033,6955,267,0.0,1.0,3382.0,22036.0,66.0,,,,,0,1,0,0,1,245
107,2021-10-17 09:01:09+00:00,13037,65,676,623.0,1024.0,1816.0,467.0,331.0,,,,,0,1,0,0,1,167
108,2021-10-17 09:01:09+00:00,13036,2827,55,68.0,0.0,834.0,3446.0,10.0,,,,,0,1,0,0,1,108
109,2021-10-17 09:01:10+00:00,13038,2679,1731,0.0,1.0,3383.0,22043.0,66.0,,,,,0,1,0,0,1,245
110,2021-10-17 09:01:11+00:00,13039,107,1242,244.0,104.0,9903.0,16108.0,168.0,,,,,0,1,0,0,1,117
111,2021-10-17 09:01:12+00:00,13042,2855,1,4.0,1.0,6297.0,41382.0,114.0,,,,,0,1,0,0,1,211
112,2021-10-17 09:01:12+00:00,13040,716,327,,,,,,,,13251.0,8609.0,0,0,0,1,1,38
113,2021-10-17 09:01:12+00:00,13041,7979,559,364.0,1516.0,48713.0,8710.0,37.0,,,,,0,1,0,0,0,120
114,2021-10-17 09:01:13+00:00,13076,516,836,,,,,,,,13074.0,18.0,0,0,0,1,0,22
115,2021-10-17 09:01:15+00:00,13078,107,1242,111.0,11.0,15832.0,61526.0,222.0,,,,,0,1,0,0,1,116
116,2021-10-17 09:01:16+00:00,13112,5389,43,,,,,,,,0.0,1.0,0,0,0,1,0,31
117,2021-10-17 09:01:16+00:00,13114,3297,11,0.0,1.0,3384.0,22057.0,67.0,,,,,0,1,0,0,1,245
118,2021-10-17 09:01:16+00:00,13113,65,676,11750.0,4151.0,410.0,457.0,24.0,,,,,0,1,0,0,1,324
119,2021-10-17 09:01:17+00:00,13115,2242,104,0.0,1.0,3385.0,22054.0,67.0,,,,,0,1,0,0,1,245
120,2021-10-17 09:01:17+00:00,13116,373,1602,155.0,11.0,11699.0,33676.0,107.0,,,,,0,1,0,0,1,123
121,2021-10-17 09:01:17+00:00,13117,3519,38,9.0,237.0,3098.0,7190.0,145.0,,,,,0,1,0,0,1,275
122,2021-10-17 09:01:18+00:00,13118,7657,700,9.0,237.0,3099.0,7190.0,145.0,,,,,0,1,0,0,1,275
123,2021-10-17 09:01:19+00:00,13119,374,1119,17.0,0.0,7667.0,28020.0,101.0,,,,,0,1,0,0,1,101
124,2021-10-17 09:01:19+00:00,13120,5895,534,0.0,1.0,3386.0,22057.0,67.0,,,,,0,1,0,0,1,245
125,2021-10-17 09:01:20+00:00,13121,8363,175,6.0,0.0,933.0,2612.0,19.0,,,,,0,1,0,0,1,102
126,2021-10-17 09:01:20+00:00,13122,4232,10,,,,,,,,0.0,1.0,0,0,0,1,0,22
127,2021-10-17 09:01:21+00:00,13123,13,2173,,,,,,,,13178.0,7933.0,0,0,0,1,0,13
128,2021-10-17 09:01:21+00:00,13124,246,5,37.0,1.0,6817.0,48809.0,82.0,,,,,0,1,0,0,1,250
129,2021-10-17 09:01:22+00:00,13111,1080,31,72.0,121.0,11581.0,3618.0,2.0,,,,,0,1,0,0,1,69
130,2021-10-17 09:01:24+00:00,13125,8030,533,6.0,0.0,934.0,2686.0,19.0,,,,,0,1,0,0,1,102
131,2021-10-17 09:01:26+00:00,13129,2827,55,81.0,0.0,706.0,2943.0,8.0,,,,,0,1,0,0,1,112
132,2021-10-17 09:01:28+00:00,13130,373,1602,111.0,11.0,15831.0,61519.0,222.0,,,,,0,1,0,0,1,116
133,2021-10-17 09:01:31+00:00,13131,849,64,6.0,0.0,935.0,2614.0,19.0,,,,,0,1,0,0,1,102
134,2021-10-17 09:01:34+00:00,13132,20,577,501.0,173.0,437.0,55.0,47.0,,,,,0,1,0,0,0,41
135,2021-10-17 09:01:35+00:00,13134,82,255,,,,,,,,13177.0,5001.0,0,0,0,1,0,300
136,2021-10-17 09:01:35+00:00,13133,345,14,12985.0,5699.0,672.0,82.0,6.0,12099.0,6814.0,,,0,1,1,0,1,342
137,2021-10-17 09:01:38+00:00,13135,5948,702869,,,,,,,,508.0,54.0,0,0,0,1,1,203
138,2021-10-17 09:01:38+00:00,13139,20,577,767.0,710.0,2652.0,724.0,2578.0,,,,,0,1,0,0,0,77
139,2021-10-17 09:01:38+00:00,13136,2956,70,53.0,42.0,2756.0,6498.0,315.0,,,,,0,1,0,0,1,155
140,2021-10-17 09:01:38+00:00,13138,1837,976,11703.0,6304.0,3258.0,9164.0,220.0,11988.0,4619.0,,,0,1,1,0,1,406
141,2021-10-17 09:01:38+00:00,13137,16,655,13242.0,689.0,21.0,56.0,0.0,,,,,0,1,0,0,1,65
142,2021-10-17 09:01:39+00:00,13126,7830,316,7.0,3.0,4261.0,7732.0,145.0,,,,,0,1,0,0,1,313
143,2021-10-17 09:01:40+00:00,13110,374,1119,235.0,0.0,3388.0,9382.0,105.0,,,,,0,1,0,0,1,95
144,2021-10-17 09:01:41+00:00,13109,2956,70,64.0,42.0,2541.0,5852.0,190.0,,,,,0,1,0,0,1,156
145,2021-10-17 09:01:42+00:00,13108,13,2173,,,,,,,,13199.0,1021.0,0,0,0,1,0,27
146,2021-10-17 09:01:42+00:00,13079,107,1242,430.0,78.0,8332.0,25936.0,10.0,,,,,0,1,0,0,1,102
147,2021-10-17 09:01:43+00:00,13081,20,577,,,,,,,,767.0,710.0,0,0,0,1,0,18
148,2021-10-17 09:01:43+00:00,13083,3023,0,,,,,,,,0.0,1.0,0,0,0,1,0,51
149,2021-10-17 09:01:43+00:00,13082,739,187,8.0,0.0,726.0,2075.0,12.0,,,,,0,1,0,0,1,162
150,2021-10-17 09:01:43+00:00,13080,7323,147,17.0,0.0,7672.0,28010.0,101.0,,,,,0,1,0,0,1,101
151,2021-10-17 09:01:48+00:00,13084,2551,497,13250.0,15.0,12.0,14.0,0.0,,,,,0,1,0,0,1,209
152,2021-10-17 09:01:50+00:00,13085,4291,3,0.0,1.0,3388.0,22110.0,69.0,,,,,0,1,0,0,1,245
153,2021-10-17 09:01:51+00:00,13086,7853,46,17.0,0.0,7669.0,28023.0,101.0,,,,,0,1,0,0,1,101
154,2021-10-17 09:01:54+00:00,13087,107,1242,845.0,683.0,5745.0,20592.0,76.0,,,,,0,1,0,0,1,89
155,2021-10-17 09:01:56+00:00,13088,5640,341,32.0,847.0,795.0,2675.0,7.0,33.0,40.0,,,0,1,1,0,1,537
156,2021-10-17 09:01:57+00:00,13090,3302,4,0.0,1.0,3391.0,22121.0,69.0,,,,,0,1,0,0,1,245
157,2021-10-17 09:01:58+00:00,13092,107,1242,431.0,104.0,10315.0,31815.0,130.0,,,,,0,1,0,0,1,59
158,2021-10-17 09:01:58+00:00,13093,412,104008,132.0,283.0,500.0,1971.0,22.0,,,,,0,1,0,0,1,243
159,2021-10-17 09:01:59+00:00,13095,374,1119,137.0,0.0,4368.0,21542.0,25.0,,,,,0,1,0,0,1,114
160,2021-10-17 09:01:59+00:00,13094,6450,3601,0.0,1.0,3392.0,22133.0,69.0,,,,,0,1,0,0,1,245
161,2021-10-17 09:02:00+00:00,13096,6316,263,13250.0,15.0,13.0,14.0,0.0,,,,,0,1,0,0,1,209
162,2021-10-17 09:02:00+00:00,13097,5570,79,,,,,,,,12814.0,7347.0,0,0,0,1,0,121
163,2021-10-17 09:02:01+00:00,13098,7642,101,24.0,237.0,987.0,2263.0,218.0,,,,,0,1,0,0,1,194
164,2021-10-17 09:02:01+00:00,13099,5330,5,0.0,1.0,3393.0,22133.0,69.0,,,,,0,1,0,0,1,245
165,2021-10-17 09:02:01+00:00,13100,4430,34,69.0,847.0,1146.0,4643.0,22.0,,,,,0,1,0,0,1,271
166,2021-10-17 09:02:02+00:00,13101,107,1242,436.0,104.0,6803.0,22000.0,19.0,,,,,0,1,0,0,1,69
167,2021-10-17 09:02:03+00:00,13102,1930,223,0.0,1.0,3394.0,22137.0,69.0,,,,,0,1,0,0,1,245
168,2021-10-17 09:02:03+00:00,13103,8606,212,13250.0,15.0,14.0,14.0,0.0,,,,,0,1,0,0,1,209
169,2021-10-17 09:02:04+00:00,13104,2811,89,4.0,1.0,6296.0,41436.0,114.0,,,,,0,1,0,0,1,211
170,2021-10-17 09:02:04+00:00,13105,6877,2,11760.0,64.0,2572.0,8387.0,0.0,,,,,0,1,0,0,1,71
171,2021-10-17 09:02:05+00:00,13106,608,148,11407.0,7925.0,6315.0,1007.0,10.0,,,,,0,1,0,0,1,306
172,2021-10-17 09:02:06+00:00,13107,6703,262,9.0,237.0,3100.0,7196.0,145.0,,,,,0,1,0,0,1,275
173,2021-10-17 09:02:07+00:00,13012,6459,606,55.0,847.0,370.0,2279.0,49.0,44.0,59.0,,,0,1,1,0,1,171
174,2021-10-17 09:02:07+00:00,12751,107,1242,850.0,104.0,9761.0,31467.0,149.0,,,,,0,1,0,0,1,61
175,2021-10-17 09:02:07+00:00,12492,120,674,,,,,,,,,,1,0,0,0,1,53
176,2021-10-17 09:02:09+00:00,12750,1473,261,6.0,0.0,936.0,2623.0,19.0,,,,,0,1,0,0,1,102
177,2021-10-17 09:02:09+00:00,12397,1930,223,4.0,1.0,6297.0,41439.0,114.0,,,,,0,1,0,0,1,211
178,2021-10-17 09:02:11+00:00,12398,107,1242,259.0,921.0,39505.0,114855.0,556.0,,,,,0,1,0,0,1,251
179,2021-10-17 09:02:11+00:00,12399,4079,1,7.0,3.0,4263.0,7736.0,145.0,,,,,0,1,0,0,1,313
180,2021-10-17 09:02:12+00:00,12400,373,1602,258.0,11.0,14416.0,53388.0,195.0,,,,,0,1,0,0,1,88
181,2021-10-17 09:02:12+00:00,470,13,2173,,,,,,,,13076.0,516.0,0,0,0,1,0,13
182,2021-10-17 09:02:12+00:00,12401,7887,96,0.0,1.0,3397.0,22151.0,69.0,,,,,0,1,0,0,1,245
183,2021-10-17 09:02:13+00:00,12402,5261,0,7.0,3.0,4263.0,7735.0,145.0,,,,,0,1,0,0,1,313
184,2021-10-17 09:02:13+00:00,12403,5694,230,375.0,1055.0,28428.0,2918.0,23.0,,,,,0,1,0,0,0,288
185,2021-10-17 09:02:14+00:00,12405,1794,3,,,,,,,,7.0,3.0,0,0,0,1,0,140
186,2021-10-17 09:02:14+00:00,12406,161,187,11768.0,847.0,1658.0,3802.0,115.0,,,,,0,1,0,0,1,316
187,2021-10-17 09:02:14+00:00,12404,7398,976,4.0,1.0,6298.0,41442.0,114.0,,,,,0,1,0,0,1,211
188,2021-10-17 09:02:15+00:00,12407,107,1242,446.0,104.0,7920.0,22396.0,77.0,,,,,0,1,0,0,1,155
189,2021-10-17 09:02:17+00:00,12408,120,674,53.0,42.0,3710.0,8412.0,459.0,,,,,0,1,0,0,1,155
190,2021-10-17 09:02:18+00:00,12409,7162,30,32.0,847.0,796.0,2676.0,7.0,33.0,40.0,,,0,1,1,0,1,537
191,2021-10-17 09:02:18+00:00,12396,38,4010,,,,,,,,,,1,0,0,0,1,57
192,2021-10-17 09:02:18+00:00,12410,631,0,,,,,,,,8.0,0.0,0,0,0,1,0,32
193,2021-10-17 09:02:20+00:00,12412,373,1602,426.0,11.0,22102.0,85653.0,458.0,,,,,0,1,0,0,1,75
194,2021-10-17 09:02:21+00:00,12413,969,304,6.0,0.0,937.0,2625.0,19.0,,,,,0,1,0,0,1,102
195,2021-10-17 09:02:23+00:00,12414,5657,424,141.0,260.0,3176.0,12720.0,13.0,,,,,0,1,0,0,1,72
196,2021-10-17 09:02:24+00:00,12418,5611,749,301.0,189.0,29.0,661.0,14.0,,,,,0,1,0,0,1,187
197,2021-10-17 09:02:24+00:00,12417,7459,18,12002.0,446.0,6.0,29.0,1.0,,,,,0,1,0,0,1,113
198,2021-10-17 09:02:24+00:00,12416,107,1242,243.0,14.0,24240.0,68652.0,348.0,,,,,0,1,0,0,1,174
199,2021-10-17 09:02:25+00:00,12420,1931,29,6.0,0.0,938.0,2625.0,19.0,,,,,0,1,0,0,1,102
200,2021-10-17 09:02:25+00:00,12419,3088,99,0.0,1.0,3400.0,22172.0,68.0,,,,,0,1,0,0,1,245
201,2021-10-17 09:02:27+00:00,12423,2178,1065,118.0,226.0,92.0,180.0,1.0,,,,,0,1,0,0,1,191
202,2021-10-17 09:02:27+00:00,12422,6566,20,627.0,412.0,45.0,144.0,0.0,,,,,0,1,0,0,1,239
203,2021-10-17 09:02:27+00:00,12421,20,577,11918.0,6479.0,1316.0,344.0,18.0,,,,,0,1,0,0,0,68
204,2021-10-17 09:02:28+00:00,12411,107,1242,439.0,147.0,6935.0,20881.0,212.0,,,,,0,1,0,0,1,117
205,2021-10-17 09:02:28+00:00,12424,54,181,575.0,2260.0,2687.0,9657.0,68.0,,,,,0,1,0,0,1,103
206,2021-10-17 09:02:30+00:00,12395,5288,0,0.0,1.0,3402.0,22176.0,68.0,,,,,0,1,0,0,1,245
207,2021-10-17 09:02:31+00:00,12394,2237,27,29.0,237.0,289.0,740.0,73.0,,,,,0,1,0,0,1,128
208,2021-10-17 09:02:32+00:00,12393,373,1602,409.0,11.0,12527.0,49042.0,90.0,,,,,0,1,0,0,1,104
209,2021-10-17 09:02:32+00:00,12364,480,1218,53.0,42.0,3944.0,8993.0,505.0,,,,,0,1,0,0,1,155
210,2021-10-17 09:02:33+00:00,12365,5937,22,109.0,210.0,111.0,239.0,2.0,,,,,0,1,0,0,1,170
211,2021-10-17 09:02:34+00:00,12366,38,4010,11612.0,362.0,11804.0,44563.0,262.0,,,,,0,1,0,0,1,218
