,RT_SubSet,Concert,Last_RT_created_at,Last_RT_id,Last_RT_url,OriTwt_id,language,LastRT_user_followers_count,Last_RT_user_friends_count,Last_RT_user_statuses_count,Last_RT_user_favorites_count,Ori_Twt_user_friends_count,Ori_Twt_user_statuses_count,Ori_Twt_user_followers_count,Last_RT_retweet_count,Last_RT_favorite_count,Last_RT_reply_count,Shout,Tweet Length,Tweet link/media,Affection,Intensifiers,Self,Members,recording,Stills,Production,Music,Commentary,Army,Anticipation,Fanwork,Information,Stream,Spam,Commercial
19,Top200RTd,SWZ_D1,2021-06-13 11:26:35+00:00,1623583595000000000,https://twitter.com/anyuser/status/1404053430331576323,1404038641555443712,ko,399,819,58646,39826,183,104760,385954,2946,6505,10,False,59,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
20,Top200RTd,SWZ_D1,2021-06-13 09:09:31+00:00,1623575371000000000,https://twitter.com/anyuser/status/1404046212483911681,1402374688177860608,en,182,1442,1142,6782,1555,203687,25103,2780,4084,270,False,309,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
21,Top200RTd,SWZ_D1,2021-06-13 11:50:22+00:00,1623585022000000000,https://twitter.com/anyuser/status/1404053340791611398,1404004312351600640,ko,118,198,2767,12650,8,12405,1658535,2582,13666,12,False,76,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False
22,Top200RTd,SWZ_D1,2021-06-13 09:36:43+00:00,1623577003000000000,https://twitter.com/anyuser/status/1404051310400348162,1403218960909099008,th,22,175,2357,352,873,16241,944,2495,492,30,False,179,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
23,Top200RTd,SWZ_D1,2021-06-13 11:58:32+00:00,1623585512000000000,https://twitter.com/anyuser/status/1404052433869819908,1403230330509611008,ko,5,51,481,238,78,583,2421,2394,1755,43,False,239,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
24,Top200RTd,SWZ_D1,2021-06-13 09:46:49+00:00,1623577609000000000,https://twitter.com/anyuser/status/1404053176597114885,1404036769415274496,th,0,21,349,12,192,47406,236,2365,2540,3,False,105,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
25,Top200RTd,SWZ_D1,2021-06-13 11:31:46+00:00,1623583906000000000,https://twitter.com/anyuser/status/1404050028121903108,1402968259037593600,th,18,140,6277,231,138,3318,385,2275,902,1544,False,316,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
26,Top200RTd,SWZ_D1,2021-06-13 11:47:52+00:00,1623584872000000000,https://twitter.com/anyuser/status/1404006681714044931,1402974048225792000,en,301,310,963,1715,1288,57908,5724,2155,3008,1788,False,321,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
27,Top200RTd,SWZ_D1,2021-06-13 11:52:09+00:00,1623585129000000000,https://twitter.com/anyuser/status/1404053214446571521,1404023915404427264,th,109,186,5360,3963,297,172312,2451,2105,1754,9,False,125,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False
28,Top200RTd,SWZ_D1,2021-06-13 09:29:18+00:00,1623576558000000000,https://twitter.com/anyuser/status/1404002330559672320,1403899121405202432,en,624,119,489376,484057,449,7368,155809,2058,5348,23,False,181,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
29,Top200RTd,SWZ_D1,2021-06-13 10:42:46+00:00,1623580966000000000,https://twitter.com/anyuser/status/1404050742525054985,1401844029273169920,th,10,32,265,286,136,56970,824,1849,392,11,False,225,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
30,Top200RTd,SWZ_D1,2021-06-13 10:22:11+00:00,1623579731000000000,https://twitter.com/anyuser/status/1404049541708406784,1403658409057034240,ko,0,6,1427,1324,78,583,2419,1849,4422,44,False,136,True,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,True
31,Top200RTd,SWZ_D1,2021-06-13 11:18:44+00:00,1623583124000000000,https://twitter.com/anyuser/status/1404053227947978761,1403974862427672576,th,126,418,5982,1580,499,12108,1360,1837,674,2,False,243,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
32,Top200RTd,SWZ_D1,2021-06-13 10:23:03+00:00,1623579783000000000,https://twitter.com/anyuser/status/1404053431338237964,1403875826890809344,en,165,1532,20649,27796,1861,127701,5101237,1697,11845,38,False,153,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
33,Top200RTd,SWZ_D1,2021-06-13 09:31:33+00:00,1623576693000000000,https://twitter.com/anyuser/status/1404053405681737735,1404024385628000256,en,0,17,39,355,1066,18165,422,1686,4456,41,False,103,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False
34,Top200RTd,SWZ_D1,2021-06-13 10:03:24+00:00,1623578604000000000,https://twitter.com/anyuser/status/1404053306406674439,1403328210641719296,th,1,11,298,9,40,683,201,1673,1298,23,False,315,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
35,Top200RTd,SWZ_D1,2021-06-13 10:16:00+00:00,1623579360000000000,https://twitter.com/anyuser/status/1404053424581251074,1404032551300308992,en,76,232,452,1111,147,30236,22957,1611,7781,70,False,58,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
